Time,Driver,DriverNumber,LapTime,LapNumber,TotalSeconds,TyreLife,Position,SpeedI1,SpeedI2,SpeedFL,SpeedST,Sector1TimeTotal,Sector2TimeTotal,Sector3TimeTotal
0 days 01:19:32.791000,PER,11,0 days 00:01:30.855000,9.0,90.855,9.0,13.0,227.0,279.0,287.0,,33.28,30.816,26.759
0 days 01:21:04.363000,PER,11,0 days 00:01:31.572000,10.0,91.572,10.0,13.0,224.0,279.0,286.0,340.0,33.701,30.977,26.894
0 days 01:22:35.180000,PER,11,0 days 00:01:30.817000,11.0,90.817,11.0,12.0,222.0,280.0,287.0,334.0,33.491,30.652,26.674
0 days 01:24:06.265000,PER,11,0 days 00:01:31.085000,12.0,91.085,12.0,10.0,226.0,278.0,285.0,337.0,33.664,30.95,26.471
0 days 01:25:36.799000,PER,11,0 days 00:01:30.534000,13.0,90.534,13.0,7.0,228.0,277.0,285.0,330.0,33.347,30.631,26.556
0 days 01:27:06.995000,PER,11,0 days 00:01:30.196000,14.0,90.196,14.0,5.0,224.0,276.0,284.0,,33.286,30.62,26.29
0 days 01:28:35.875000,PER,11,0 days 00:01:28.880000,15.0,88.88,15.0,3.0,230.0,276.0,276.0,328.0,32.769,30.072,26.039
0 days 01:30:04.408000,PER,11,0 days 00:01:28.533000,16.0,88.533,16.0,3.0,231.0,276.0,276.0,301.0,32.828,29.936,25.769
0 days 01:31:36.983000,PER,11,0 days 00:01:32.575000,17.0,92.575,17.0,3.0,233.0,277.0,,298.0,32.785,29.906,29.884
0 days 01:33:29.124000,PER,11,0 days 00:01:52.141000,18.0,112.141,7.0,16.0,228.0,279.0,277.0,171.0,55.578,30.433,26.13
0 days 01:34:57.605000,PER,11,0 days 00:01:28.481000,19.0,88.481,8.0,15.0,232.0,282.0,288.0,306.0,32.709,29.501,26.271
0 days 01:36:25.924000,PER,11,0 days 00:01:28.319000,20.0,88.319,9.0,14.0,,278.0,287.0,329.0,32.393,29.908,26.018
0 days 01:37:54.741000,PER,11,0 days 00:01:28.817000,21.0,88.817,10.0,11.0,225.0,280.0,283.0,330.0,32.513,29.93,26.374
0 days 01:39:22.153000,PER,11,0 days 00:01:27.412000,22.0,87.412,11.0,9.0,233.0,279.0,276.0,324.0,32.2,29.553,25.659
0 days 01:40:49.840000,PER,11,0 days 00:01:27.687000,23.0,87.687,12.0,9.0,232.0,280.0,278.0,303.0,32.445,29.541,25.701
0 days 01:42:18.109000,PER,11,0 days 00:01:28.269000,24.0,88.269,13.0,9.0,228.0,281.0,279.0,304.0,32.545,29.936,25.788
0 days 01:43:46.661000,PER,11,0 days 00:01:28.552000,25.0,88.552,14.0,8.0,232.0,278.0,279.0,303.0,32.547,30.162,25.843
